date,subuh,maghrib,break (early)
Thu 1 Apr,05:02,19:36,18:41
Fri 2 Apr,05:00,19:38,18:40
Sat 3 Apr,04:57,19:40,18:39
Sun 4 Apr,04:55,19:41,18:38
Mon 5 Apr,04:53,19:43,18:37
Tue 6 Apr,04:51,19:45,18:37
Wed 7 Apr,04:48,19:46,18:35
Thu 8 Apr,04:46,19:48,18:34
Fri 9 Apr,04:44,19:50,18:34
Sat 10 Apr,04:42,19:51,18:33
Sun 11 Apr,04:39,19:53,18:31
Mon 12 Apr,04:37,19:55,18:31
Tue 13 Apr,04:35,19:56,18:30
Wed 14 Apr,04:33,19:58,18:29
Thu 15 Apr,04:31,20:00,18:27
Fri 16 Apr,04:29,20:01,18:28
Sat 17 Apr,04:26,20:03,18:26
Sun 18 Apr,04:23,20:05,18:25
Mon 19 Apr,04:21,20:06,18:24
Tue 20 Apr,04:19,20:08,18:23
Wed 21 Apr,04:16,20:10,18:22
Thu 22 Apr,04:14,20:11,18:21
Fri 23 Apr,04:12,20:13,18:21
Sat 24 Apr,04:09,20:15,18:19
Sun 25 Apr,04:07,20:16,18:17
Mon 26 Apr,04:05,20:18,18:17
Tue 27 Apr,04:02,20:20,18:15
Wed 28 Apr,04:00,20:21,18:14
Thu 29 Apr,03:58,20:23,18:14
Fri 30 Apr,03:55,20:25,18:12
